기간,자치구,살인,강도,강간강제추행,절도,폭력
2014,종로구,0.18144,0.72576,13.66847,137.41049,151.68376
2014,중구,0.44044,0.95429,16.22292,189.09614,177.27763
2014,용산구,0.04001,0.2801,8.52293,62.42147,80.74778
2014,성동구,0.03291,0.16453,4.63982,57.68516,55.34879
2014,광진구,0.21199,0.42398,6.59821,83.92183,74.93872
2014,동대문구,0.31888,0.34545,3.74682,48.07092,63.4568
2014,중랑구,0.25979,0.33065,3.84969,56.44634,65.53916
2014,성북구,0.16808,0.33616,3.46667,44.75157,48.05016
2014,강북구,0.1773,0.62055,5.58494,44.14763,68.55589
2014,도봉구,0.16868,0.30924,4.83537,37.95205,44.55852
2014,노원구,0.08532,0.13651,2.95194,41.01997,46.44607
2014,은평구,0.09936,0.47691,3.73577,46.73686,56.87113
2014,서대문구,0.0935,0.12466,5.76574,58.68585,66.04106
2014,마포구,0.10105,0.55579,6.69479,69.80269,67.85741
2014,양천구,0.10189,0.22417,2.62885,41.9394,49.70369
2014,강서구,0.13521,0.15212,3.61698,39.56711,45.92219
2014,구로구,0.06563,0.30626,5.51264,51.99822,60.00468
2014,금천구,0.27129,0.3488,6.27834,60.14804,81.85095
2014,영등포구,0.3322,0.23728,5.9321,73.08346,86.58491
2014,동작구,0.0477,0.21466,4.84185,42.62261,44.55459
2014,관악구,0.13159,0.46996,6.78622,56.94037,63.14385
2014,서초구,0.13207,0.30817,6.27355,60.46825,55.16324
2014,강남구,0.22281,0.63416,8.77545,66.75853,75.31117
2014,송파구,0.13397,0.13397,3.79581,62.50428,52.57564
2014,강동구,0.10388,0.20776,3.0748,50.38103,58.25501
2015,종로구,0.36625,0.67146,12.87983,133.31543,139.96899
2015,중구,0.22333,0.67,12.6555,189.68354,165.56365
2015,용산구,0.20169,0.56472,7.82545,62.8053,82.69163
2015,성동구,0.13112,0.29502,4.13027,52.6773,52.8412
2015,광진구,0.10662,0.37315,6.39693,80.65462,69.96642
2015,동대문구,0.13375,0.34776,4.62785,52.99285,68.16042
2015,중랑구,0.31054,0.26277,4.46706,51.00091,68.00917
2015,성북구,0.10648,0.10648,3.19448,38.01431,47.04404
2015,강북구,0.20931,0.41863,4.575,42.87944,79.21035
2015,도봉구,0.08493,0.25478,2.88755,30.09277,42.09591
2015,노원구,0.17294,0.12106,3.407,37.92668,47.09272
2015,은평구,0.05969,0.17908,3.30297,38.08364,52.78783
2015,서대문구,0.0619,0.15475,4.76625,56.08084,63.63257
2015,마포구,0.20083,0.35145,7.38043,64.13941,74.88371
2015,양천구,0.06135,0.1227,2.45394,38.64952,51.30774
2015,강서구,0.11751,0.21823,4.39825,35.18603,53.83664
2015,구로구,0.17598,0.32996,6.1812,51.36338,66.14548
2015,금천구,0.11711,0.23422,5.89459,61.17103,80.18207
2015,영등포구,0.33508,0.52655,7.06061,70.94117,85.4932
2015,동작구,0.12113,0.21804,6.9045,45.18211,46.27229
2015,관악구,0.17012,0.22683,6.04879,51.15012,62.34039
2015,서초구,0.17728,0.19944,8.70899,58.39232,53.16249
2015,강남구,0.22346,0.36097,7.71796,66.17849,73.63861
2015,송파구,0.1648,0.19476,3.29598,48.5258,49.36477
2015,강동구,0.08633,0.1295,3.367,51.06611,58.53393
2016,종로구,0.37055,0.7411,14.69844,119.81077,139.75865
2016,중구,0.2232,0.5952,14.73116,159.95953,165.53951
2016,용산구,0.1632,0.36719,10.24063,60.75022,97.26563
2016,성동구,0.13022,0.09767,3.38585,42.19286,52.70851
2016,광진구,0.1075,0.29562,7.4979,70.84041,64.2831
2016,동대문구,0.13502,0.27004,5.13081,52.38826,71.34524
2016,중랑구,0.19246,0.3368,3.94537,40.68062,76.11679
2016,성북구,0.08665,0.1733,3.3361,31.84458,45.66556
2016,강북구,0.21167,0.15119,6.56176,36.95147,84.00261
2016,도봉구,0.08565,0.14275,3.51156,24.72364,41.13946
2016,노원구,0.08753,0.10504,2.78355,32.50982,44.04669
2016,은평구,0.12098,0.18147,3.14556,33.59298,53.7165
2016,서대문구,0.18412,0.15343,5.37022,46.12255,60.63749
2016,마포구,0.10233,0.10233,10.20755,64.64784,75.18797
2016,양천구,0.10377,0.14527,2.71872,35.67537,46.69551
2016,강서구,0.14948,0.16608,4.56732,32.41965,53.2134
2016,구로구,0.20018,0.22242,6.07206,42.48221,70.37367
2016,금천구,0.23561,0.27488,6.87207,49.63598,86.11685
2016,영등포구,0.31958,0.46708,8.75168,57.54968,88.32806
2016,동작구,0.19359,0.16939,7.86455,29.66749,40.19388
2016,관악구,0.11415,0.22831,6.12625,40.01088,61.54789
2016,서초구,0.11075,0.28794,9.48,48.8397,51.78558
2016,강남구,0.08739,0.68165,9.01877,62.69445,69.94791
2016,송파구,0.13535,0.22558,3.51908,38.24371,49.46266
2016,강동구,0.08919,0.31217,3.56768,39.11067,56.4139
2017,종로구,0.42616,0.6088,15.40269,100.08706,130.46628
2017,중구,0.0743,0.66868,19.83758,137.15424,153.12832
2017,용산구,0.04091,0.20455,13.3773,55.06374,97.40472
2017,성동구,0.03198,0.09594,4.22115,34.28085,49.85434
2017,광진구,0.16116,0.34918,7.01051,59.62965,57.642
2017,동대문구,0.30054,0.08196,4.50806,42.26649,61.44624
2017,중랑구,0.12113,0.07268,4.16687,37.13843,69.23785
2017,성북구,0.15371,0.17567,3.7988,29.51206,41.76484
2017,강북구,0.2439,0.21341,6.34142,30.91445,65.73131
2017,도봉구,0.02888,0.08665,3.00375,18.28243,36.33381
2017,노원구,0.07167,0.16127,3.22537,27.55902,44.40263
2017,은평구,0.12215,0.08143,4.68239,28.23686,45.92815
2017,서대문구,0.12307,0.03077,6.21485,37.84289,51.56479
2017,마포구,0.07776,0.20737,12.96065,54.27922,69.28766
2017,양천구,0.06316,0.06316,2.90515,33.47242,45.21934
2017,강서구,0.18085,0.06576,5.19519,31.03961,47.94042
2017,구로구,0.15853,0.18118,7.42823,39.06613,64.02315
2017,금천구,0.19725,0.19725,9.46779,45.01146,73.92767
2017,영등포구,0.37311,0.12437,11.31773,57.31001,79.3485
2017,동작구,0.02448,0.17136,9.69417,30.01275,41.61638
2017,관악구,0.15357,0.13438,7.27546,37.98982,60.50729
2017,서초구,0.20207,0.29187,10.55229,40.68244,53.97383
2017,강남구,0.12477,0.35647,10.81896,55.78806,70.5104
2017,송파구,0.0894,0.0149,4.291,33.88098,44.80216
2017,강동구,0.11354,0.22709,3.9059,37.35588,55.15954
2018,종로구,0.36804,0.18402,14.47622,90.96709,120.3489
2018,중구,0.14746,0.81101,15.26177,136.76613,144.13896
2018,용산구,0.0408,0.1224,13.50524,44.71827,80.78665
2018,성동구,0.0632,0.158,3.98151,31.56767,41.86903
2018,광진구,0.18865,0.0539,6.17146,47.67385,51.41984
2018,동대문구,0.05489,0.13724,3.97982,39.71587,57.11729
2018,중랑구,0.098,0.0735,4.26317,37.38849,63.23702
2018,성북구,0.15636,0.02234,4.08768,26.00031,37.68258
2018,강북구,0.24774,0.21678,5.82197,34.43631,65.71389
2018,도봉구,0.02927,0.14635,3.30749,22.85972,39.48497
2018,노원구,0.09121,0.09121,3.53911,25.94133,43.43622
2018,은평구,0.16405,0.02051,3.8551,26.20646,43.36985
2018,서대문구,0.15476,0.09286,6.37613,32.87112,47.23288
2018,마포구,0.1553,0.1553,12.2425,52.05004,69.26201
2018,양천구,0.04272,0.08544,2.56331,29.56349,42.82861
2018,강서구,0.18224,0.0994,4.45651,28.56144,43.38887
2018,구로구,0.18245,0.20525,5.70144,39.15746,64.44904
2018,금천구,0.2362,0.27557,7.87336,45.98045,75.26937
2018,영등포구,0.42121,0.19822,9.68781,56.7889,77.60159
2018,동작구,0.07328,0.17099,7.03494,28.11534,40.32879
2018,관악구,0.17306,0.19229,6.76871,38.68933,50.82301
2018,서초구,0.11411,0.11411,10.7266,42.24455,54.66002
2018,강남구,0.18266,0.25573,10.95984,54.87229,70.965
2018,송파구,0.07424,0.08909,4.58793,34.92169,46.5474
2018,강동구,0.06946,0.16207,3.93591,35.07594,51.49102
2019,종로구,0.24711,0.43245,14.70325,93.5942,128.62253
2019,중구,0.14653,0.4396,14.28697,161.33286,140.81824
2019,용산구,0.12236,0.12236,11.09366,40.74474,83.03934
2019,성동구,0.19419,0.29128,4.3045,31.39372,45.11633
2019,광진구,0.109,0.1635,7.43926,51.09382,50.49432
2019,동대문구,0.16528,0.27546,4.62781,42.17364,54.45936
2019,중랑구,0.24874,0.0995,3.43263,41.44031,60.94164
2019,성북구,0.06597,0.06597,3.87031,23.79361,35.47051
2019,강북구,0.18886,0.09443,5.5399,38.6849,76.2996
2019,도봉구,0.02979,0.14897,2.68152,23.53775,36.46862
2019,노원구,0.07445,0.05583,3.42451,27.87999,45.85867
2019,은평구,0.06191,0.02064,4.00375,32.29828,43.69038
2019,서대문구,0.06189,0.15472,5.41509,37.93657,47.49807
2019,마포구,0.05182,0.05182,12.82633,56.74678,55.78804
2019,양천구,0.12979,0.04326,2.74722,31.94999,34.65395
2019,강서구,0.13372,0.05014,5.11472,34.26529,42.73969
2019,구로구,0.2276,0.06828,5.14372,43.60779,58.08303
2019,금천구,0.23827,0.39711,6.07577,45.94552,70.6457
2019,영등포구,0.24939,0.07482,8.87812,60.07691,75.863
2019,동작구,0.09782,0.02446,6.13824,32.47643,44.41053
2019,관악구,0.25129,0.1933,7.88659,42.97031,51.68808
2019,서초구,0.11491,0.16088,14.15744,52.17108,60.76666
2019,강남구,0.09087,0.09087,12.10449,53.97949,66.48383
2019,송파구,0.10253,0.14647,3.99859,35.38677,43.82335
2019,강동구,0.13624,0.34061,4.08729,37.46679,49.11556
