기간,행정구역별,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상
2015,종로구,4516,5008,6000,9127,13416,13167,12282,11071,13435,14149,13956,13099,9704,7759,6867,4968,2871,1405,589,223,210
2015,중구,4564,4063,3755,5791,9405,10599,11682,10565,10918,10994,11417,11788,8486,6580,5532,3935,2325,1181,447,162,140
2015,용산구,9572,8919,9078,11644,15443,18361,22198,20937,22070,21162,19842,19067,13901,11223,9521,7268,4198,2115,852,247,291
2015,성동구,12688,11109,10863,15286,22429,23964,26915,25699,26311,25268,25234,24177,16958,13128,10680,7486,3979,1820,685,208,178
2015,광진구,13483,12997,14107,21061,29994,33809,35633,29917,31168,31993,30997,29430,20223,14703,11123,7544,4017,1925,692,209,155
2015,동대문구,13487,12943,13120,19328,30629,30188,30587,28961,30235,29597,29358,30121,22780,17899,15000,10327,5488,2412,870,266,228
2015,중랑구,15889,14351,14927,22342,29676,30121,34830,32406,33511,35834,37355,36816,26467,19926,15295,9891,5312,2436,857,231,147
2015,성북구,18115,19463,19923,25908,36329,34304,36154,36430,42066,39120,36025,35771,26671,21443,17938,12441,6723,3049,1059,345,283
2015,강북구,11396,11394,12494,17876,22835,21437,25235,25180,28104,28166,27790,28187,21734,18401,15555,10191,4984,2223,783,233,228
2015,도봉구,12733,13218,14726,21128,25151,23175,25739,25297,28847,30659,30430,31214,22334,16597,13457,9495,5317,2514,890,196,124
2015,노원구,21800,23760,30240,41647,43383,35542,40689,42448,51435,53847,48039,44827,31655,23171,18308,13474,8119,3884,1402,332,219
2015,은평구,19622,20056,21092,28622,33382,32851,40297,40798,44349,42097,39974,39929,29756,24296,19709,13664,7078,3203,1172,290,341
2015,서대문구,11657,11136,12546,17579,26611,25561,25531,23982,26890,26791,25474,24561,18028,14984,12962,9837,5237,2391,890,256,201
2015,마포구,16237,15717,15566,19767,28948,33752,39437,35546,36439,31882,29163,27484,19815,15826,13498,9726,5581,2496,947,273,251
2015,양천구,17876,21324,27134,36312,35700,30401,34936,35296,43657,47748,43139,38217,26872,18965,13121,8985,5272,2720,966,236,133
2015,강서구,27034,23615,24238,31882,40509,44699,56217,52269,50332,46383,46982,48228,35353,25940,17615,11748,7162,3657,1311,326,191
2015,구로구,21119,18398,16353,21222,27779,32784,41405,40314,39256,37286,38289,38940,27740,20777,14877,9661,5016,2300,750,201,137
2015,금천구,9183,8076,8511,12459,16845,19980,21690,19466,21102,23404,24884,23525,15972,11698,8854,5561,2952,1275,457,144,129
2015,영등포구,16983,14456,13428,18178,25194,34053,39749,35301,35486,35401,36988,36415,24698,18624,13955,9738,5417,2357,919,253,218
2015,동작구,16525,15221,14870,20062,30982,35604,38286,34773,34056,31691,31558,31850,23686,19154,14867,10026,5497,2575,965,300,226
2015,관악구,18185,15920,16106,23009,40352,58156,56988,45042,42845,39184,38875,39252,30132,24532,18933,11788,5721,2613,905,250,243
2015,서초구,20419,22079,23026,27641,28806,31448,38562,39418,42551,39677,33063,31305,23983,18833,13195,8221,4804,2603,1124,317,183
2015,강남구,21917,23122,27811,40394,40443,44306,52913,49421,51463,53580,45399,39960,30701,23536,15961,9902,5725,3234,1363,395,214
2015,송파구,28287,28832,30823,40202,45513,49339,59431,56457,58384,56677,53724,52590,38929,26888,17981,11279,6779,3435,1371,359,200
2015,강동구,18449,18693,19576,27429,32144,32812,38670,37257,38024,38962,39639,40419,29312,20523,13575,8478,5105,2784,1014,271,185
2016,종로구,4438,4923,5552,8777,13759,13088,11559,11045,12194,14425,13347,13342,10382,7500,6661,5274,3112,1487,603,234,220
2016,중구,4538,4080,3541,5640,9600,10797,11284,10827,10194,11310,10948,11861,9183,6497,5369,4161,2521,1266,474,158,160
2016,용산구,9011,8802,8604,11212,15281,18467,21088,21061,20716,21833,18974,19059,15079,10886,9179,7515,4570,2263,921,264,317
2016,성동구,12703,11206,10354,14511,22458,24559,26365,26537,25032,26266,24506,24979,18423,13006,10764,7997,4458,1947,680,211,199
2016,광진구,13107,12741,13407,19709,30188,34205,33629,30401,29233,32350,29851,30052,21790,14486,11323,8139,4365,2032,693,229,174
2016,동대문구,12805,12689,12316,18909,31339,30380,28435,28841,28333,30148,28133,30349,24175,17598,14894,11029,5938,2582,889,288,242
2016,중랑구,15248,14195,14043,20880,29020,30502,32894,33080,31160,36197,35853,37965,28726,20010,15424,10784,5789,2599,897,257,154
2016,성북구,16856,18918,18993,25482,36312,33896,33154,35626,39017,40658,34622,35735,28333,20679,17665,13328,7304,3281,1100,352,306
2016,강북구,10596,11170,11676,16780,22374,21916,23137,25076,26152,28973,26727,28866,23208,18224,15341,11110,5658,2377,844,257,242
2016,도봉구,12178,13007,13709,20064,24621,23172,23892,25507,26995,31139,29137,31851,24490,16851,13565,10269,5830,2697,938,231,129
2016,노원구,21020,23150,28127,39968,43265,35670,37836,42257,47729,55151,46281,45458,34413,23344,18368,14400,8616,4095,1452,385,227
2016,은평구,18371,19505,20032,27196,32691,33157,36619,40704,41787,43518,38421,40620,31859,23949,19612,14673,7884,3453,1210,315,361
2016,서대문구,11586,11216,12000,17197,27074,26357,24565,24662,25328,28133,25005,25495,19600,14697,12858,10305,5886,2505,904,282,216
2016,마포구,15792,15278,14719,18833,28519,33650,37129,35243,34269,33172,27748,27503,20729,15176,13046,10105,5822,2649,931,294,280
2016,양천구,17288,21298,25700,34263,34390,30386,32732,35620,40868,48282,41396,38690,28869,19187,13468,9537,5622,2843,985,267,154
2016,강서구,26863,24165,23137,30547,39989,46585,54568,54495,49161,48130,45064,49683,38655,26374,18412,12760,7616,3924,1399,376,201
2016,구로구,19913,18268,15598,20378,27281,32584,38315,39921,37568,37996,37289,38962,29822,20890,15299,10357,5588,2397,816,208,150
2016,금천구,9056,8007,7993,11688,16459,19969,20749,19505,19765,23259,24552,24008,17365,11875,8981,6077,3223,1373,462,140,148
2016,영등포구,16489,14103,12664,17084,23928,33631,37573,34940,32743,35195,35055,35653,25877,18162,13817,10023,5950,2447,926,291,228
2016,동작구,16012,15201,14240,19416,31299,36319,36546,35107,32761,32912,30517,32411,25275,18969,15043,10800,6110,2745,1008,303,253
2016,관악구,17097,15595,15255,21582,41008,60000,53671,45017,40270,40376,37583,39417,31784,24402,18975,13017,6265,2749,1009,266,269
2016,서초구,19325,22452,22643,26751,28330,31695,36337,39709,41457,41978,32311,31733,25772,18608,13971,8959,5099,2680,1139,334,194
2016,강남구,20342,23318,26940,38324,39328,43526,48499,49432,49023,55395,43568,39723,32791,22953,16798,10716,6114,3279,1392,442,237
2016,송파구,27444,28627,29212,38088,44609,49518,57125,57859,55625,58444,51822,53623,41886,27152,18700,12162,7319,3663,1455,391,222
2016,강동구,17080,17893,18205,25277,30435,32163,35238,37004,35349,38649,36812,40121,31050,20329,14029,9028,5339,2879,1087,299,205
2017,종로구,4277,5032,5509,8418,14429,13590,11486,11431,11637,14535,13398,13608,10725,7662,6605,5872,3329,1612,626,250,226
2017,중구,4426,4002,3544,5229,9432,11294,10933,11129,9819,11296,10811,11779,9515,6674,5341,4576,2635,1321,508,163,166
2017,용산구,8252,8562,8426,10651,15042,19675,20632,21486,19459,22058,18685,19099,15535,10990,9014,8005,4895,2395,957,312,314
2017,성동구,12661,11113,10355,13870,22749,26099,26026,27863,24488,26796,24345,25594,19479,13397,10895,8828,4907,2098,698,232,218
2017,광진구,12351,12577,13387,18322,30249,35398,32573,30951,28211,32203,29380,30173,22570,15181,11602,8995,4794,2184,767,253,177
2017,동대문구,11776,12329,12034,17530,31449,30960,26567,28547,26851,30122,27436,29941,24751,17998,14805,12158,6470,2729,995,317,246
2017,중랑구,14242,14084,13697,19016,27907,31385,31193,33341,29867,35613,34901,38372,29900,20768,15774,12185,6332,2788,970,280,165
2017,성북구,15633,18321,18836,24232,35952,34015,30891,35240,36585,41248,34139,35191,28873,21052,17386,14604,7847,3479,1197,373,313
2017,강북구,9699,10886,11304,15622,22138,22863,21437,24736,24774,29044,26273,28864,23832,18428,15345,12535,6257,2562,907,278,218
2017,도봉구,11115,12515,13353,18399,23926,23673,22188,25224,25488,30861,28553,31712,25739,17622,13713,11511,6236,2973,1043,249,141
2017,노원구,19054,22289,27109,37188,42380,35805,34419,41006,44544,54348,45151,45015,35524,24338,18450,15724,9207,4360,1504,421,239
2017,은평구,16746,18882,19681,25514,32040,34086,34122,40175,39875,44116,37954,40468,32984,24228,19811,16145,8650,3673,1333,350,369
2017,서대문구,10933,11194,11695,16349,27275,27098,23299,24721,24195,28181,24890,25617,20315,14736,12778,11183,6338,2712,1002,290,227
2017,마포구,14687,14759,14670,17663,28163,34428,34831,35091,32619,33667,27276,27183,21131,15222,12833,10852,6309,2830,949,343,277
2017,양천구,16103,20879,25380,32048,33231,30554,30219,35642,38891,47743,40394,38958,29742,20254,13973,10367,6096,3038,1055,300,151
2017,강서구,25348,24249,23001,28873,39187,49661,53262,56620,48599,49226,44003,49742,40452,27811,19541,14324,8075,4166,1520,400,195
2017,구로구,18086,17914,15540,19048,26267,32262,35232,39432,35924,38106,35896,38624,30434,21327,15819,11743,6074,2553,897,231,150
2017,금천구,8593,8147,7784,10772,16014,20423,20234,19915,18808,22911,23509,24546,17665,12321,9118,6989,3425,1523,486,167,141
2017,영등포구,15704,13889,12457,15891,23481,33896,36552,35364,31334,34853,33569,34978,26075,18477,13902,11033,6388,2671,975,301,234
2017,동작구,14807,14890,14038,18331,31301,36702,34280,34723,31410,32975,29726,32170,25885,19086,15136,11954,6516,2939,1063,315,246
2017,관악구,15538,15038,14749,20082,40833,62559,51095,45045,38201,40195,36349,39313,31886,24753,19114,14665,6928,2959,1054,300,273
2017,서초구,17417,22360,22771,25470,27414,31819,33723,39061,40042,42631,32349,30876,26263,18901,14518,9825,5477,2754,1227,322,181
2017,강남구,18374,23210,27231,35880,37714,43060,44424,48713,47556,55328,43257,38360,32885,23751,17572,11706,6407,3463,1480,447,234
2017,송파구,26782,28968,29447,36206,43833,51333,55827,60112,54361,59307,51362,53361,43692,29171,19972,13483,7781,3917,1607,425,226
2017,강동구,16244,17839,18062,23282,28460,32038,32974,37645,34323,38089,34848,39055,31339,21328,14520,10132,5615,2929,1128,302,207
2018,종로구,4041,4871,5416,7851,14485,13804,11150,11571,10781,14163,13355,13587,11209,7755,6596,5964,3549,1686,692,269,231
2018,중구,4185,3935,3453,4964,9842,11591,11116,11435,9473,10902,10879,11800,10053,6750,5468,4682,2793,1414,535,184,179
2018,용산구,7839,8333,8097,10161,15347,20399,20700,21848,18534,21672,19035,19244,16241,11019,9120,8032,5232,2525,1005,368,339
2018,성동구,12345,11081,10222,13137,23163,26888,26102,28711,23476,26817,25169,25698,20887,13756,11127,9073,5307,2239,790,243,232
2018,광진구,11578,12357,12966,17274,30131,36505,31541,31339,26618,31484,29663,30049,23939,15380,12100,9292,5251,2320,826,260,190
2018,동대문구,11347,11970,11641,16258,32448,31210,25802,28992,25519,29438,27730,29134,25684,17987,15070,12490,6986,2950,1070,353,259
2018,중랑구,13005,13616,13147,17662,26693,31877,30049,33298,27961,34426,35236,37782,31565,21151,16575,12774,6890,2899,1058,314,169
2018,성북구,14236,17443,18158,23057,35906,34303,29124,34575,33499,40663,34853,34298,29790,21077,17598,14930,8479,3636,1329,400,333
2018,강북구,8683,10390,10747,14666,21688,23249,20120,24164,22853,28337,26643,28378,24801,18223,15796,13091,6866,2718,960,311,231
2018,도봉구,10309,11969,12703,17091,23047,23735,20985,25098,23562,29942,28999,30940,27305,17952,14433,12022,6759,3197,1150,305,146
2018,노원구,17222,21047,25948,34889,42028,36323,32181,39995,41100,53009,45757,44207,37358,25040,19279,16052,9757,4651,1617,458,242
2018,은평구,15632,17981,18854,24311,31112,35063,32922,40100,37090,43769,38801,40017,34594,24490,20540,16795,9489,3900,1419,403,384
2018,서대문구,10301,11186,11246,15351,27283,27975,22459,24796,22926,27429,25158,25210,21304,14849,12907,11353,6822,2891,1055,330,249
2018,마포구,14004,14110,14540,17097,28447,36110,33782,35386,30991,33886,28020,27091,22062,15264,13072,11124,6664,3042,1007,364,296
2018,양천구,14767,20225,25035,30176,31858,30721,28317,35406,37021,46492,40737,38206,31139,20902,15041,10840,6425,3195,1131,347,164
2018,강서구,23269,23814,22439,27188,37547,50707,51656,56867,46416,49100,44054,48672,42222,28583,20984,14847,8606,4337,1664,430,209
2018,구로구,16290,17190,15296,18119,25724,32574,33456,38593,33987,38079,36588,39114,31675,21911,16731,12209,6789,2776,956,274,155
2018,금천구,8169,7865,7396,9878,15750,21480,19795,20109,17529,22401,23845,25366,18699,12580,9545,7344,3739,1625,573,181,152
2018,영등포구,14974,13577,12088,14892,23176,35332,36719,36042,29656,34562,33939,35616,27354,18416,14479,11436,6802,2919,1056,316,249
2018,동작구,13785,14555,13654,17525,31800,38171,33169,34720,30011,32979,30327,31949,27261,19282,15869,12389,7060,3083,1179,347,270
2018,관악구,13988,14173,14145,18921,41646,66354,50164,44465,35715,39955,36540,38895,32830,24482,19927,15265,7688,3128,1139,328,292
2018,서초구,16015,21796,22891,24291,26556,31473,31783,38462,38118,42630,32956,29880,26561,18978,15167,10177,5809,2782,1244,407,187
2018,강남구,16532,22889,27476,33643,35734,42140,41547,47747,45946,54344,42844,36872,32654,23679,18636,12153,6872,3507,1513,480,245
2018,송파구,25575,28591,28893,34622,43001,52917,54859,61250,52518,58778,52200,53114,45825,30618,21596,14288,8237,4191,1685,501,248
2018,강동구,14952,17065,17611,21712,27170,31697,31149,37044,32696,37149,34760,37448,32697,21754,15713,10592,5979,2958,1221,342,211
2019,종로구,3689,4825,5256,7507,14593,13958,11008,10905,10550,13615,13323,13545,11576,7959,6754,5858,3849,1844,727,275,253
2019,중구,4021,3949,3347,4662,9817,12105,11237,11281,9391,10531,10959,11589,10324,7187,5728,4756,3061,1518,632,206,187
2019,용산구,7504,8133,7889,9626,15253,21037,20748,21507,18287,21037,19598,18966,16809,11413,9306,7979,5533,2673,1129,403,355
2019,성동구,11370,10928,9645,12316,22455,26763,25183,27121,22796,25348,24810,24905,21392,14118,11307,9155,5567,2458,869,236,237
2019,광진구,10307,12122,12482,16225,29842,37545,31069,29529,26106,30161,29571,29113,24998,16207,12485,9514,5782,2502,936,271,205
2019,동대문구,10735,11805,11312,15206,32766,32363,25634,27823,25194,28382,27816,28220,26417,18766,15406,12590,7476,3308,1144,384,276
2019,중랑구,11975,13095,12623,16115,25102,32307,29263,31439,27542,32582,34926,36909,32982,22285,17278,13089,7590,3221,1189,326,186
2019,성북구,13848,17483,17664,22629,37032,36053,29692,34124,32990,40412,36275,34354,31338,21956,18156,15097,9397,3983,1497,400,364
2019,강북구,7766,9801,10322,13476,20968,23504,19498,22375,21993,27478,26808,27489,25640,18748,16247,13379,7636,2929,1084,318,236
2019,도봉구,9189,11571,11975,15836,21808,23806,20247,23709,22685,28767,28915,29964,28445,19006,14951,12190,7449,3399,1244,316,159
2019,노원구,15356,20550,24639,32536,40380,36196,31073,37088,39444,50962,46364,43038,38754,26350,20311,16257,10467,5044,1749,492,253
2019,은평구,14427,17472,18202,22771,30174,36624,32581,38294,36135,42871,39268,38996,35993,25474,21293,16960,10380,4238,1571,425,397
2019,서대문구,9600,11136,10999,14924,27421,28802,22567,23982,22399,26786,25501,24887,22093,15247,13138,11225,7501,3140,1191,353,279
2019,마포구,13043,13901,14057,16522,28822,37358,33436,34386,30302,33402,28716,26604,22947,15590,13268,11188,7236,3289,1182,356,320
2019,양천구,13264,20089,24455,28256,30629,31055,27423,33361,36357,45111,40721,37702,32598,22157,15956,11171,6846,3381,1240,342,171
2019,강서구,20904,23465,21684,25899,35759,52571,50875,53866,46080,48424,44006,46593,44070,30006,22350,15282,9327,4590,1833,471,218
2019,구로구,15662,16981,15131,17257,25101,33305,33514,37240,33739,37366,36394,38684,33218,23095,17800,12776,7432,3121,1100,299,156
2019,금천구,7446,7705,7117,9108,15210,22406,19757,19330,17042,21129,23132,24953,19825,13212,10068,7489,4143,1799,605,175,169
2019,영등포구,14111,13494,11733,14015,22602,36612,36846,35177,29297,32894,32966,34853,28514,19037,15013,11484,7352,3228,1150,338,270
2019,동작구,12708,14297,13357,16860,31549,39776,33147,32867,29677,32302,30520,31421,28205,19985,16507,12656,7651,3448,1319,370,290
2019,관악구,12322,13694,13494,17745,41202,69774,50342,41882,34770,38826,36521,37689,33879,24946,20530,15783,8617,3424,1248,341,305
2019,서초구,14840,21503,22494,23731,25851,31347,31463,36523,37414,42069,33815,29565,27356,19412,15893,10646,6239,2960,1365,412,209
2019,강남구,15439,23402,28114,32497,34690,42754,41270,45900,46859,53979,44027,36818,33435,24599,19859,13042,7357,3705,1706,485,272
2019,송파구,24742,29288,28804,33042,42090,54975,55673,60594,53825,58090,53561,52544,48179,32847,23357,15127,8875,4488,1860,510,270
2019,강동구,14711,17684,17715,20860,26577,33085,31801,36928,33719,37032,35177,37029,34620,23443,17205,11240,6471,3147,1351,366,229
