"","기간","자치구","살인","강도","강간강제추행","절도","폭력"
"1",2014,"강남구",0.465977964812406,0.614129190120897,0.452153034374547,0.190589522885083,0.23173504766015
"2",2014,"강동구",0.174146688587343,0.100165133854851,0.0328047450101405,0.0822326562685977,0.103225634373655
"3",2014,"강북구",0.35430520452482,0.597724286730229,0.217454375326889,0.0409912157332781,0.180837479310299
"4",2014,"강서구",0.251024464456604,0.0330990923664766,0.0726883118889339,0.0106855650128298,0.01030416422047
"5",2014,"관악구",0.242141682820897,0.416209635620698,0.305822318113707,0.125630582049222,0.140060535081174
"6",2014,"광진구",0.439427772188551,0.360787338934224,0.291992022992378,0.30414540191416,0.228928828031667
"7",2014,"구로구",0.0802885677128064,0.218892759422875,0.21213587983584,0.0929323137940756,0.116408499986137
"8",2014,"금천구",0.584938532132604,0.270168629389005,0.268461910229975,0.146853178314812,0.281008934093131
"9",2014,"노원구",0.128604029151228,0.0142834757663054,0.0237669807496945,0.0202979818794106,0.0142513311931372
"10",2014,"도봉구",0.333153387480676,0.222484722105035,0.162314891713813,0,2.96105333332026e-05
"11",2014,"동대문구",0.701715211150099,0.266130684763087,0.0822395353268006,0.066948499276419,0.14241845274189
"12",2014,"동작구",0.0362918067381542,0.108482094427636,0.162791570147866,0.0309013736494758,0
"13",2014,"마포구",0.167202414546168,0.519665393006521,0.299096591381389,0.210730303778335,0.175574790933059
"14",2014,"서대문구",0.14867617107943,0,0.230754292128847,0.137179032273111,0.161889525737204
"15",2014,"서초구",0.243319510220106,0.221194990537951,0.268109550708508,0.148971752716233,0.079930733955461
"16",2014,"성동구",0,0.0480575678314429,0.147929942982492,0.130558263971817,0.0813287579910768
"17",2014,"성북구",0.331681103231664,0.254932921904946,0.0616312848175712,0.0449870054462599,0.0263373262095262
"18",2014,"송파구",0.247981743675312,0.0112218699902366,0.0858433125620215,0.162442540756969,0.060434495774057
"19",2014,"양천구",0.169263612494786,0.119945035738823,0,0.0263811175150811,0.0387958262559387
"20",2014,"영등포구",0.734399921478173,0.135747260827116,0.242991981062331,0.23243654449208,0.316676893476822
"21",2014,"용산구",0.0174220302799794,0.187360630642576,0.433577287743847,0.161894652976507,0.272697114231259
"22",2014,"은평구",0.163055480578117,0.424586864023721,0.0814266808983623,0.0581220873406297,0.0927988087072147
"23",2014,"종로구",0.364463965843005,0.724539855116136,0.812090860205957,0.658037241151804,0.807163322961861
"24",2014,"중구",1,1,1,1,1
"25",2014,"중랑구",0.556719750693201,0.248291407012765,0.0898068054673839,0.122361979221285,0.158107966785571
"26",2015,"강남구",0.534218423799583,0.450440723565436,0.50489886235132,0.226114079153826,0.255473211059018
"27",2015,"강동구",0.0868997912317328,0.0407448051258452,0.0875762165148491,0.131419505025259,0.133136153621991
"28",2015,"강북구",0.488061064718163,0.55249743353747,0.203441624647872,0.0801216135494553,0.300600302556765
"29",2015,"강서구",0.188609081419624,0.197794612198662,0.186488635502581,0.031914502323662,0.0950914789563654
"30",2015,"관악구",0.360223121085595,0.213016389960707,0.344800300022348,0.131945913914696,0.163965745222193
"31",2015,"광진구",0.153085855949896,0.471999008814471,0.378192173521877,0.316821893897749,0.225731110004929
"32",2015,"구로구",0.379338465553236,0.395553824914156,0.357500414832691,0.133282206734136,0.194784240806546
"33",2015,"금천구",0.187304279749478,0.226096498991115,0.330010195772255,0.194737201907103,0.308470536514234
"34",2015,"노원구",0.369421972860125,0.0258062232291409,0.0914128194331611,0.0490874879543472,0.0404705715031311
"35",2015,"도봉구",0.0823329853862213,0.262487167687352,0.0415897347852318,0,0
"36",2015,"동대문구",0.241584029227557,0.427059364933272,0.208510736253691,0.143492508996604,0.21110380735891
"37",2015,"동작구",0.200417536534447,0.19745831710857,0.426875787103067,0.0945502048771367,0.0338256778653274
"38",2015,"마포구",0.460399269311065,0.433590569577684,0.472524647775873,0.21333714976123,0.265557626631863
"39",2015,"서대문구",0.0072090292275574,0.0854366526248717,0.221785382351051,0.162841936284912,0.174431474974759
"40",2015,"서초구",0.383579070981211,0.164536797762753,0.599953577104688,0.177325731306391,0.0896313482371994
"41",2015,"성동구",0.233004958246347,0.333710927820454,0.160785314251349,0.141515264322617,0.0870291300383404
"42",2015,"성북구",0.152629175365344,0,0.0710289481281694,0.0496365798598503,0.0400762984727832
"43",2015,"송파구",0.342869258872651,0.156253318701547,0.0807643280333862,0.115501855151147,0.0588725443585506
"44",2015,"양천구",0.00541492693110648,0.0287089808488796,0,0.0536168225768947,0.0746092056111175
"45",2015,"영등포구",0.898323329853862,0.743513044709547,0.44184908914251,0.255957158424638,0.351486874223178
"46",2015,"용산구",0.463204592901879,0.811072958334808,0.515208773543554,0.204977581096952,0.32879616975252
"47",2015,"은평구",0,0.128500123898191,0.0814347743933612,0.0500710034797125,0.0865968713770901
"48",2015,"종로구",1,1,1,0.646795926857173,0.792701640120731
"49",2015,"중구",0.533794363256785,0.997415837728769,0.978483371683377,1,1
"50",2015,"중랑구",0.818273747390396,0.276629261212786,0.193088551672807,0.131010960094998,0.20987879101051
"51",2019,"강남구",0.275756207674944,0.167629367958755,0.783828117916473,0.220920321483106,0.299817198419544
"52",2019,"강동구",0.48058690744921,0.763724460569028,0.116935748848128,0.101085154618332,0.136219156177656
"53",2019,"강북구",0.718148984198646,0.176126599198014,0.237767775519829,0.109925163527211,0.392275500547312
"54",2019,"강서구",0.46920993227991,0.0704124498758831,0.202400153721636,0.0778513838408344,0.0761625213148414
"55",2019,"관악구",1,0.412115715104067,0.432971793577131,0.141025033471797,0.16045065624232
"56",2019,"광진구",0.357607223476298,0.340987206415887,0.395761674900368,0.199978576888541,0.149206197300429
"57",2019,"구로구",0.893047404063205,0.113710139392782,0.204812452117956,0.145651322459846,0.220687012553845
"58",2019,"금천구",0.941218961625282,0.898582203551652,0.282342890748669,0.162616583418671,0.339019363290613
"59",2019,"노원구",0.201625282167043,0.0839936986824518,0.0618039167407686,0.0315122938687737,0.105541326560937
"60",2019,"도봉구",0,0.30630609127363,0,0,0.0170930357090882
"61",2019,"동대문구",0.611693002257336,0.608220355165171,0.161897663647412,0.13524347852402,0.186554348924671
"62",2019,"동작구",0.307133182844244,0.00911781554324995,0.287539314225157,0.0648693556687171,0.0919007700235173
"63",2019,"마포구",0.0994582392776524,0.074422379224747,0.843872720481994,0.241002964473848,0.199069668341398
"64",2019,"서대문구",0.144920993227991,0.320030551842658,0.227385742318285,0.104494419286722,0.120983430492494
"65",2019,"서초구",0.384288939051919,0.334733626121826,0.954598048700145,0.207796415997636,0.245965098056983
"66",2019,"성동구",0.742212189616253,0.645980523200306,0.135003863836569,0.0570119650835215,0.098548956527661
"67",2019,"성북구",0.16334085778781,0.108196486538094,0.0988867658814497,0.00185681480278946,0.00769147516551936
"68",2019,"송파구",0.328397291196388,0.300338934504487,0.109557443063519,0.0859901341927155,0.0863699083750289
"69",2019,"양천구",0.451467268623025,0.0539908344472026,0.00546510360821613,0.0610489007919076,0
"70",2019,"영등포구",0.991422121896163,0.129320221500859,0.5154499394014,0.265170222658845,0.38816300660043
"71",2019,"용산구",0.417923250564334,0.242791674622876,0.6997445459181,0.124873734633979,0.455759559075844
"72",2019,"은평구",0.145011286681716,0,0.109986665812658,0.0635764941150669,0.085117415658316
"73",2019,"종로구",0.981128668171558,0.982933931640252,1,0.508410276678178,0.885124178761051
"74",2019,"중구",0.527042889390519,1,0.965372704261367,1,1
"75",2019,"중랑구",0.988487584650113,0.188227993125835,0.0624793602917384,0.129921591557204,0.247613298219203
