의안번호,의원,정당,표결결과
2104473,강대식,국민의힘,찬성
2104473,강득구,더불어민주당,찬성
2104473,강민국,국민의힘,찬성
2104473,강병원,더불어민주당,찬성
2104473,강선우,더불어민주당,찬성
2104473,강훈식,더불어민주당,찬성
2104473,고민정,더불어민주당,찬성
2104473,구자근,국민의힘,찬성
2104473,권성동,국민의힘,찬성
2104473,권칠승,더불어민주당,찬성
2104473,기동민,더불어민주당,찬성
2104473,김경만,더불어민주당,찬성
2104473,김교흥,더불어민주당,찬성
2104473,김남국,더불어민주당,찬성
2104473,김도읍,국민의힘,찬성
2104473,김두관,더불어민주당,찬성
2104473,김민기,더불어민주당,찬성
2104473,김민석,더불어민주당,찬성
2104473,김민철,더불어민주당,찬성
2104473,김병기,더불어민주당,찬성
2104473,김병욱,더불어민주당,찬성
2104473,김병주,더불어민주당,찬성
2104473,김상희,더불어민주당,찬성
2104473,김석기,국민의힘,찬성
2104473,김선교,국민의힘,찬성
2104473,김성원,국민의힘,찬성
2104473,김성주,더불어민주당,찬성
2104473,김승남,더불어민주당,찬성
2104473,김승원,더불어민주당,찬성
2104473,김영식,국민의힘,기권
2104473,김영주,더불어민주당,찬성
2104473,김영진,더불어민주당,찬성
2104473,김영호,더불어민주당,찬성
2104473,김예지,국민의힘,찬성
2104473,김용민,더불어민주당,찬성
2104473,김용판,국민의힘,찬성
2104473,김원이,더불어민주당,찬성
2104473,김윤덕,더불어민주당,찬성
2104473,김정재,국민의힘,찬성
2104473,김정호,더불어민주당,찬성
2104473,김진표,더불어민주당,찬성
2104473,김철민,더불어민주당,찬성
2104473,김태년,더불어민주당,찬성
2104473,김태흠,국민의힘,기권
2104473,김형동,국민의힘,찬성
2104473,김회재,더불어민주당,찬성
2104473,김희곤,국민의힘,찬성
2104473,김희국,국민의힘,반대
2104473,노웅래,더불어민주당,찬성
2104473,도종환,더불어민주당,찬성
2104473,류성걸,국민의힘,찬성
2104473,맹성규,더불어민주당,찬성
2104473,문정복,더불어민주당,찬성
2104473,문진석,더불어민주당,찬성
2104473,민병덕,더불어민주당,찬성
2104473,민형배,더불어민주당,찬성
2104473,민홍철,더불어민주당,찬성
2104473,박광온,더불어민주당,찬성
2104473,박대수,국민의힘,찬성
2104473,박대출,국민의힘,기권
2104473,박병석,무소속,찬성
2104473,박성민,국민의힘,찬성
2104473,박성준,더불어민주당,찬성
2104473,박성중,국민의힘,기권
2104473,박영순,더불어민주당,찬성
2104473,박용진,더불어민주당,찬성
2104473,박재호,더불어민주당,찬성
2104473,박정,더불어민주당,찬성
2104473,박주민,더불어민주당,찬성
2104473,박진,국민의힘,찬성
2104473,박찬대,더불어민주당,찬성
2104473,박홍근,더불어민주당,찬성
2104473,배준영,국민의힘,찬성
2104473,백종헌,국민의힘,찬성
2104473,변재일,더불어민주당,찬성
2104473,서동용,더불어민주당,찬성
2104473,서범수,국민의힘,찬성
2104473,서병수,국민의힘,찬성
2104473,서삼석,더불어민주당,찬성
2104473,서영교,더불어민주당,찬성
2104473,서영석,더불어민주당,찬성
2104473,서일준,국민의힘,찬성
2104473,성일종,국민의힘,찬성
2104473,소병훈,더불어민주당,찬성
2104473,송갑석,더불어민주당,찬성
2104473,송기헌,더불어민주당,찬성
2104473,송석준,국민의힘,찬성
2104473,송언석,무소속,기권
2104473,송영길,더불어민주당,찬성
2104473,송재호,더불어민주당,찬성
2104473,신원식,국민의힘,찬성
2104473,신정훈,더불어민주당,찬성
2104473,신현영,더불어민주당,찬성
2104473,안규백,더불어민주당,찬성
2104473,안민석,더불어민주당,찬성
2104473,양경숙,더불어민주당,찬성
2104473,양금희,국민의힘,찬성
2104473,양기대,더불어민주당,찬성
2104473,양이원영,더불어민주당,찬성
2104473,양향자,더불어민주당,찬성
2104473,오기형,더불어민주당,찬성
2104473,오영훈,더불어민주당,찬성
2104473,용혜인,기본소득당,반대
2104473,우원식,더불어민주당,찬성
2104473,위성곤,더불어민주당,찬성
2104473,유동수,더불어민주당,찬성
2104473,유상범,국민의힘,찬성
2104473,유정주,더불어민주당,찬성
2104473,윤건영,더불어민주당,찬성
2104473,윤두현,국민의힘,반대
2104473,윤미향,더불어민주당,찬성
2104473,윤영덕,더불어민주당,찬성
2104473,윤영찬,더불어민주당,찬성
2104473,윤재갑,더불어민주당,찬성
2104473,윤준병,더불어민주당,찬성
2104473,윤창현,국민의힘,찬성
2104473,윤후덕,더불어민주당,찬성
2104473,윤희숙,국민의힘,기권
2104473,이개호,더불어민주당,찬성
2104473,이규민,더불어민주당,찬성
2104473,이명수,국민의힘,찬성
2104473,이상헌,더불어민주당,찬성
2104473,이성만,더불어민주당,찬성
2104473,이수진,더불어민주당,찬성
2104473,이수진,더불어민주당,찬성
2104473,이영,국민의힘,기권
2104473,이용빈,더불어민주당,찬성
2104473,이용선,더불어민주당,찬성
2104473,이원욱,더불어민주당,찬성
2104473,이은주,정의당,찬성
2104473,이장섭,더불어민주당,찬성
2104473,이재정,더불어민주당,찬성
2104473,이종배,국민의힘,찬성
2104473,이종성,국민의힘,찬성
2104473,이채익,국민의힘,찬성
2104473,이탄희,더불어민주당,찬성
2104473,이학영,더불어민주당,찬성
2104473,이해식,더불어민주당,찬성
2104473,이형석,더불어민주당,찬성
2104473,인재근,더불어민주당,찬성
2104473,임오경,더불어민주당,찬성
2104473,임이자,국민의힘,찬성
2104473,임종성,더불어민주당,찬성
2104473,임호선,더불어민주당,찬성
2104473,장경태,더불어민주당,찬성
2104473,장철민,더불어민주당,찬성
2104473,장혜영,정의당,찬성
2104473,전주혜,국민의힘,찬성
2104473,전혜숙,더불어민주당,찬성
2104473,정동만,국민의힘,찬성
2104473,정성호,더불어민주당,찬성
2104473,정운천,국민의힘,찬성
2104473,정일영,더불어민주당,찬성
2104473,정찬민,국민의힘,찬성
2104473,정청래,더불어민주당,찬성
2104473,정희용,국민의힘,찬성
2104473,조명희,국민의힘,찬성
2104473,조승래,더불어민주당,찬성
2104473,조오섭,더불어민주당,찬성
2104473,조정식,더불어민주당,찬성
2104473,조정훈,시대전환,찬성
2104473,조태용,국민의힘,찬성
2104473,지성호,국민의힘,찬성
2104473,진선미,더불어민주당,찬성
2104473,진성준,더불어민주당,찬성
2104473,천준호,더불어민주당,찬성
2104473,최강욱,열린민주당,찬성
2104473,최기상,더불어민주당,찬성
2104473,최승재,국민의힘,기권
2104473,최연숙,국민의당,기권
2104473,최인호,더불어민주당,찬성
2104473,최종윤,더불어민주당,찬성
2104473,최춘식,국민의힘,기권
2104473,최형두,국민의힘,찬성
2104473,최혜영,더불어민주당,찬성
2104473,추경호,국민의힘,찬성
2104473,태영호,국민의힘,찬성
2104473,하영제,국민의힘,찬성
2104473,한기호,국민의힘,찬성
2104473,한무경,국민의힘,기권
2104473,한병도,더불어민주당,찬성
2104473,허영,더불어민주당,찬성
2104473,허은아,국민의힘,찬성
2104473,허종식,더불어민주당,찬성
2104473,홍기원,더불어민주당,찬성
2104473,홍석준,국민의힘,기권
2104473,홍성국,더불어민주당,찬성
2104473,홍영표,더불어민주당,찬성
2104473,홍익표,더불어민주당,찬성
2104473,강민정,열린민주당,찬성
2104473,강준현,더불어민주당,찬성
2104473,고영인,더불어민주당,찬성
2104473,권인숙,더불어민주당,찬성
2104473,김경협,더불어민주당,찬성
2104473,김성환,더불어민주당,찬성
2104473,김수흥,더불어민주당,찬성
2104473,김영배,더불어민주당,찬성
2104473,김웅,국민의힘,기권
2104473,김주영,더불어민주당,찬성
2104473,김한정,더불어민주당,찬성
2104473,류호정,정의당,찬성
2104473,박상혁,더불어민주당,찬성
2104473,박완주,더불어민주당,찬성
2104473,박형수,국민의힘,찬성
2104473,배현진,국민의힘,찬성
2104473,백혜련,더불어민주당,찬성
2104473,설훈,더불어민주당,찬성
2104473,소병철,더불어민주당,찬성
2104473,송옥주,더불어민주당,찬성
2104473,신동근,더불어민주당,찬성
2104473,신영대,더불어민주당,찬성
2104473,안병길,국민의힘,찬성
2104473,안호영,더불어민주당,찬성
2104473,양정숙,무소속,찬성
2104473,어기구,더불어민주당,찬성
2104473,엄태영,국민의힘,찬성
2104473,오영환,더불어민주당,찬성
2104473,윤관석,더불어민주당,찬성
2104473,윤영석,국민의힘,찬성
2104473,윤주경,국민의힘,찬성
2104473,윤호중,더불어민주당,찬성
2104473,이달곤,국민의힘,찬성
2104473,이동주,더불어민주당,찬성
2104473,이만희,국민의힘,찬성
2104473,이용,국민의힘,찬성
2104473,이용우,더불어민주당,찬성
2104473,이원택,더불어민주당,찬성
2104473,이정문,더불어민주당,찬성
2104473,이주환,국민의힘,찬성
2104473,이헌승,국민의힘,찬성
2104473,전용기,더불어민주당,찬성
2104473,전재수,더불어민주당,찬성
2104473,정경희,국민의힘,기권
2104473,정춘숙,더불어민주당,찬성
2104473,정태호,더불어민주당,찬성
2104473,조수진,국민의힘,기권
2104473,조응천,더불어민주당,찬성
2104473,한준호,더불어민주당,찬성
2104473,홍정민,더불어민주당,찬성
2107252,강민국,국민의힘,찬성
2107252,강병원,더불어민주당,찬성
2107252,김경만,더불어민주당,찬성
2107252,김남국,더불어민주당,찬성
2107252,김두관,더불어민주당,찬성
2107252,김민기,더불어민주당,찬성
2107252,김병욱,더불어민주당,찬성
2107252,김상희,더불어민주당,찬성
2107252,김선교,국민의힘,찬성
2107252,김성주,더불어민주당,찬성
2107252,김영식,국민의힘,찬성
2107252,김예지,국민의힘,찬성
2107252,김원이,더불어민주당,찬성
2107252,김정호,더불어민주당,찬성
2107252,김진표,더불어민주당,찬성
2107252,도종환,더불어민주당,찬성
2107252,박병석,무소속,찬성
2107252,박성중,국민의힘,찬성
2107252,박용진,더불어민주당,찬성
2107252,서범수,국민의힘,찬성
2107252,서삼석,더불어민주당,찬성
2107252,송기헌,더불어민주당,찬성
2107252,송언석,무소속,찬성
2107252,송영길,더불어민주당,찬성
2107252,양경숙,더불어민주당,찬성
2107252,양금희,국민의힘,찬성
2107252,오기형,더불어민주당,찬성
2107252,오영훈,더불어민주당,찬성
2107252,윤영덕,더불어민주당,찬성
2107252,윤후덕,더불어민주당,찬성
2107252,이명수,국민의힘,찬성
2107252,이수진,더불어민주당,찬성
2107252,이영,국민의힘,찬성
2107252,이용빈,더불어민주당,찬성
2107252,이용선,더불어민주당,찬성
2107252,이종성,국민의힘,찬성
2107252,이채익,국민의힘,찬성
2107252,장철민,더불어민주당,찬성
2107252,전주혜,국민의힘,찬성
2107252,정성호,더불어민주당,찬성
2107252,정운천,국민의힘,찬성
2107252,정찬민,국민의힘,찬성
2107252,정청래,더불어민주당,찬성
2107252,조명희,국민의힘,찬성
2107252,조정훈,시대전환,찬성
2107252,조태용,국민의힘,찬성
2107252,주철현,더불어민주당,찬성
2107252,진선미,더불어민주당,찬성
2107252,진성준,더불어민주당,찬성
2107252,천준호,더불어민주당,찬성
2107252,홍기원,더불어민주당,찬성
2107252,홍성국,더불어민주당,찬성
2107252,강대식,국민의힘,찬성
2107252,강득구,더불어민주당,찬성
2107252,강민정,열린민주당,찬성
2107252,강선우,더불어민주당,찬성
2107252,강준현,더불어민주당,찬성
2107252,강훈식,더불어민주당,찬성
2107252,고민정,더불어민주당,찬성
2107252,고영인,더불어민주당,찬성
2107252,구자근,국민의힘,찬성
2107252,권성동,국민의힘,찬성
2107252,권인숙,더불어민주당,찬성
2107252,권칠승,더불어민주당,찬성
2107252,기동민,더불어민주당,찬성
2107252,김경협,더불어민주당,찬성
2107252,김교흥,더불어민주당,찬성
2107252,김도읍,국민의힘,찬성
2107252,김민석,더불어민주당,찬성
2107252,김민철,더불어민주당,찬성
2107252,김병기,더불어민주당,찬성
2107252,김병주,더불어민주당,찬성
2107252,김성원,국민의힘,찬성
2107252,김성환,더불어민주당,찬성
2107252,김수흥,더불어민주당,찬성
2107252,김승남,더불어민주당,찬성
2107252,김승원,더불어민주당,찬성
2107252,김영배,더불어민주당,찬성
2107252,김영주,더불어민주당,찬성
2107252,김영진,더불어민주당,찬성
2107252,김영호,더불어민주당,찬성
2107252,김용민,더불어민주당,찬성
2107252,김용판,국민의힘,찬성
2107252,김웅,국민의힘,찬성
2107252,김윤덕,더불어민주당,찬성
2107252,김은혜,국민의힘,찬성
2107252,김정재,국민의힘,찬성
2107252,김주영,더불어민주당,찬성
2107252,김철민,더불어민주당,찬성
2107252,김태년,더불어민주당,찬성
2107252,김태흠,국민의힘,찬성
2107252,김한정,더불어민주당,찬성
2107252,김형동,국민의힘,찬성
2107252,김홍걸,무소속,찬성
2107252,김회재,더불어민주당,찬성
2107252,김희곤,국민의힘,찬성
2107252,김희국,국민의힘,찬성
2107252,노웅래,더불어민주당,찬성
2107252,류성걸,국민의힘,찬성
2107252,류호정,정의당,찬성
2107252,맹성규,더불어민주당,찬성
2107252,문정복,더불어민주당,찬성
2107252,문진석,더불어민주당,찬성
2107252,민병덕,더불어민주당,찬성
2107252,민형배,더불어민주당,찬성
2107252,민홍철,더불어민주당,찬성
2107252,박광온,더불어민주당,찬성
2107252,박대수,국민의힘,찬성
2107252,박대출,국민의힘,찬성
2107252,박상혁,더불어민주당,찬성
2107252,박성민,국민의힘,찬성
2107252,박성준,더불어민주당,찬성
2107252,박영순,더불어민주당,찬성
2107252,박완주,더불어민주당,찬성
2107252,박재호,더불어민주당,찬성
2107252,박정,더불어민주당,찬성
2107252,박주민,더불어민주당,찬성
2107252,박진,국민의힘,찬성
2107252,박찬대,더불어민주당,찬성
2107252,박형수,국민의힘,찬성
2107252,박홍근,더불어민주당,찬성
2107252,배준영,국민의힘,찬성
2107252,배현진,국민의힘,찬성
2107252,백종헌,국민의힘,찬성
2107252,백혜련,더불어민주당,찬성
2107252,변재일,더불어민주당,찬성
2107252,서동용,더불어민주당,찬성
2107252,서병수,국민의힘,찬성
2107252,서영교,더불어민주당,찬성
2107252,서영석,더불어민주당,찬성
2107252,서일준,국민의힘,찬성
2107252,설훈,더불어민주당,찬성
2107252,성일종,국민의힘,찬성
2107252,소병철,더불어민주당,찬성
2107252,소병훈,더불어민주당,찬성
2107252,송갑석,더불어민주당,찬성
2107252,송석준,국민의힘,찬성
2107252,송옥주,더불어민주당,찬성
2107252,송재호,더불어민주당,찬성
2107252,신동근,더불어민주당,찬성
2107252,신영대,더불어민주당,찬성
2107252,신원식,국민의힘,찬성
2107252,신정훈,더불어민주당,찬성
2107252,신현영,더불어민주당,찬성
2107252,안규백,더불어민주당,찬성
2107252,안민석,더불어민주당,찬성
2107252,안병길,국민의힘,찬성
2107252,안호영,더불어민주당,찬성
2107252,양기대,더불어민주당,찬성
2107252,양이원영,더불어민주당,찬성
2107252,양정숙,무소속,찬성
2107252,양향자,더불어민주당,찬성
2107252,어기구,더불어민주당,찬성
2107252,엄태영,국민의힘,찬성
2107252,오영환,더불어민주당,찬성
2107252,용혜인,기본소득당,찬성
2107252,우원식,더불어민주당,찬성
2107252,위성곤,더불어민주당,찬성
2107252,유동수,더불어민주당,찬성
2107252,유상범,국민의힘,찬성
2107252,유정주,더불어민주당,찬성
2107252,윤건영,더불어민주당,찬성
2107252,윤관석,더불어민주당,찬성
2107252,윤두현,국민의힘,찬성
2107252,윤미향,더불어민주당,찬성
2107252,윤영석,국민의힘,찬성
2107252,윤영찬,더불어민주당,찬성
2107252,윤재갑,더불어민주당,찬성
2107252,윤주경,국민의힘,찬성
2107252,윤준병,더불어민주당,찬성
2107252,윤창현,국민의힘,찬성
2107252,윤호중,더불어민주당,찬성
2107252,윤희숙,국민의힘,찬성
2107252,이개호,더불어민주당,찬성
2107252,이규민,더불어민주당,찬성
2107252,이달곤,국민의힘,찬성
2107252,이동주,더불어민주당,찬성
2107252,이만희,국민의힘,찬성
2107252,이상헌,더불어민주당,찬성
2107252,이성만,더불어민주당,찬성
2107252,이수진,더불어민주당,찬성
2107252,이용,국민의힘,찬성
2107252,이용우,더불어민주당,찬성
2107252,이원욱,더불어민주당,찬성
2107252,이원택,더불어민주당,찬성
2107252,이은주,정의당,찬성
2107252,이재정,더불어민주당,찬성
2107252,이정문,더불어민주당,찬성
2107252,이종배,국민의힘,찬성
2107252,이주환,국민의힘,찬성
2107252,이탄희,더불어민주당,찬성
2107252,이학영,더불어민주당,찬성
2107252,이해식,더불어민주당,찬성
2107252,이헌승,국민의힘,찬성
2107252,이형석,더불어민주당,찬성
2107252,인재근,더불어민주당,찬성
2107252,임오경,더불어민주당,찬성
2107252,임이자,국민의힘,찬성
2107252,임종성,더불어민주당,찬성
2107252,임호선,더불어민주당,찬성
2107252,장경태,더불어민주당,찬성
2107252,장혜영,정의당,찬성
2107252,전용기,더불어민주당,찬성
2107252,전재수,더불어민주당,찬성
2107252,전혜숙,더불어민주당,찬성
2107252,정경희,국민의힘,찬성
2107252,정동만,국민의힘,찬성
2107252,정일영,더불어민주당,찬성
2107252,정춘숙,더불어민주당,찬성
2107252,정태호,더불어민주당,찬성
2107252,정필모,더불어민주당,찬성
2107252,정희용,국민의힘,찬성
2107252,조수진,국민의힘,찬성
2107252,조승래,더불어민주당,찬성
2107252,조오섭,더불어민주당,찬성
2107252,조응천,더불어민주당,찬성
2107252,조정식,더불어민주당,찬성
2107252,지성호,국민의힘,찬성
2107252,최강욱,열린민주당,찬성
2107252,최기상,더불어민주당,찬성
2107252,최승재,국민의힘,찬성
2107252,최인호,더불어민주당,찬성
2107252,최종윤,더불어민주당,찬성
2107252,최춘식,국민의힘,찬성
2107252,최형두,국민의힘,찬성
2107252,최혜영,더불어민주당,찬성
2107252,추경호,국민의힘,찬성
2107252,태영호,국민의힘,찬성
2107252,하영제,국민의힘,찬성
2107252,한기호,국민의힘,찬성
2107252,한무경,국민의힘,찬성
2107252,한병도,더불어민주당,찬성
2107252,한준호,더불어민주당,찬성
2107252,허영,더불어민주당,찬성
2107252,허은아,국민의힘,찬성
2107252,허종식,더불어민주당,찬성
2107252,홍석준,국민의힘,찬성
2107252,홍영표,더불어민주당,찬성
2107252,홍익표,더불어민주당,찬성
2107252,홍정민,더불어민주당,찬성
2107252,황희,더불어민주당,찬성
2103714,강민국,국민의힘,찬성
2103714,강병원,더불어민주당,찬성
2103714,김경만,더불어민주당,찬성
2103714,김남국,더불어민주당,찬성
2103714,김두관,더불어민주당,찬성
2103714,김민기,더불어민주당,찬성
2103714,김민철,더불어민주당,찬성
2103714,김병욱,더불어민주당,찬성
2103714,김상희,더불어민주당,찬성
2103714,김선교,국민의힘,찬성
2103714,김성주,더불어민주당,찬성
2103714,김영식,국민의힘,찬성
2103714,김영주,더불어민주당,찬성
2103714,김예지,국민의힘,기권
2103714,김원이,더불어민주당,찬성
2103714,김정호,더불어민주당,찬성
2103714,김진표,더불어민주당,찬성
2103714,김철민,더불어민주당,찬성
2103714,김회재,더불어민주당,찬성
2103714,도종환,더불어민주당,찬성
2103714,박광온,더불어민주당,찬성
2103714,박병석,무소속,찬성
2103714,박성중,국민의힘,찬성
2103714,박용진,더불어민주당,찬성
2103714,박홍근,더불어민주당,찬성
2103714,배준영,국민의힘,찬성
2103714,서범수,국민의힘,찬성
2103714,서삼석,더불어민주당,찬성
2103714,성일종,국민의힘,찬성
2103714,송기헌,더불어민주당,찬성
2103714,송언석,무소속,찬성
2103714,송영길,더불어민주당,찬성
2103714,신현영,더불어민주당,찬성
2103714,안규백,더불어민주당,찬성
2103714,양경숙,더불어민주당,찬성
2103714,양금희,국민의힘,찬성
2103714,양이원영,더불어민주당,찬성
2103714,오기형,더불어민주당,찬성
2103714,오영훈,더불어민주당,찬성
2103714,윤두현,국민의힘,찬성
2103714,윤영덕,더불어민주당,찬성
2103714,윤준병,더불어민주당,찬성
2103714,윤후덕,더불어민주당,찬성
2103714,이명수,국민의힘,찬성
2103714,이수진,더불어민주당,찬성
2103714,이영,국민의힘,찬성
2103714,이용빈,더불어민주당,찬성
2103714,이용선,더불어민주당,찬성
2103714,이종성,국민의힘,찬성
2103714,이채익,국민의힘,찬성
2103714,인재근,더불어민주당,찬성
2103714,임호선,더불어민주당,찬성
2103714,장철민,더불어민주당,찬성
2103714,전주혜,국민의힘,찬성
2103714,정성호,더불어민주당,찬성
2103714,정찬민,국민의힘,찬성
2103714,정청래,더불어민주당,찬성
2103714,조명희,국민의힘,찬성
2103714,조정훈,시대전환,찬성
2103714,조태용,국민의힘,찬성
2103714,주철현,더불어민주당,찬성
2103714,진선미,더불어민주당,찬성
2103714,진성준,더불어민주당,찬성
2103714,천준호,더불어민주당,찬성
2103714,홍기원,더불어민주당,찬성
2103714,홍석준,국민의힘,찬성
2103714,홍성국,더불어민주당,찬성
2103714,강대식,국민의힘,찬성
2103714,강득구,더불어민주당,찬성
2103714,강민정,열린민주당,찬성
2103714,강선우,더불어민주당,찬성
2103714,강준현,더불어민주당,찬성
2103714,강훈식,더불어민주당,찬성
2103714,고민정,더불어민주당,찬성
2103714,고영인,더불어민주당,찬성
2103714,구자근,국민의힘,찬성
2103714,권성동,국민의힘,찬성
2103714,권인숙,더불어민주당,찬성
2103714,권칠승,더불어민주당,찬성
2103714,기동민,더불어민주당,찬성
2103714,김경협,더불어민주당,찬성
2103714,김교흥,더불어민주당,찬성
2103714,김도읍,국민의힘,찬성
2103714,김민석,더불어민주당,찬성
2103714,김병기,더불어민주당,찬성
2103714,김병주,더불어민주당,찬성
2103714,김성원,국민의힘,찬성
2103714,김성환,더불어민주당,찬성
2103714,김수흥,더불어민주당,찬성
2103714,김승남,더불어민주당,찬성
2103714,김승원,더불어민주당,찬성
2103714,김영배,더불어민주당,찬성
2103714,김영진,더불어민주당,찬성
2103714,김영호,더불어민주당,찬성
2103714,김용민,더불어민주당,찬성
2103714,김용판,국민의힘,찬성
2103714,김웅,국민의힘,찬성
2103714,김은혜,국민의힘,찬성
2103714,김정재,국민의힘,찬성
2103714,김태년,더불어민주당,찬성
2103714,김태흠,국민의힘,찬성
2103714,김한정,더불어민주당,찬성
2103714,김형동,국민의힘,찬성
2103714,김홍걸,무소속,찬성
2103714,김희곤,국민의힘,찬성
2103714,김희국,국민의힘,찬성
2103714,노웅래,더불어민주당,찬성
2103714,류성걸,국민의힘,찬성
2103714,류호정,정의당,찬성
2103714,맹성규,더불어민주당,찬성
2103714,문정복,더불어민주당,찬성
2103714,문진석,더불어민주당,찬성
2103714,민병덕,더불어민주당,찬성
2103714,민형배,더불어민주당,찬성
2103714,민홍철,더불어민주당,찬성
2103714,박대수,국민의힘,찬성
2103714,박대출,국민의힘,찬성
2103714,박상혁,더불어민주당,찬성
2103714,박성민,국민의힘,찬성
2103714,박성준,더불어민주당,찬성
2103714,박영순,더불어민주당,찬성
2103714,박완주,더불어민주당,찬성
2103714,박재호,더불어민주당,찬성
2103714,박정,더불어민주당,찬성
2103714,박주민,더불어민주당,찬성
2103714,박진,국민의힘,찬성
2103714,박찬대,더불어민주당,찬성
2103714,박형수,국민의힘,찬성
2103714,배현진,국민의힘,찬성
2103714,백종헌,국민의힘,찬성
2103714,백혜련,더불어민주당,찬성
2103714,변재일,더불어민주당,찬성
2103714,서동용,더불어민주당,찬성
2103714,서병수,국민의힘,찬성
2103714,서영교,더불어민주당,찬성
2103714,서영석,더불어민주당,찬성
2103714,서일준,국민의힘,찬성
2103714,설훈,더불어민주당,찬성
2103714,소병철,더불어민주당,찬성
2103714,소병훈,더불어민주당,찬성
2103714,송갑석,더불어민주당,찬성
2103714,송석준,국민의힘,찬성
2103714,송옥주,더불어민주당,찬성
2103714,송재호,더불어민주당,찬성
2103714,신동근,더불어민주당,찬성
2103714,신영대,더불어민주당,찬성
2103714,신원식,국민의힘,찬성
2103714,신정훈,더불어민주당,찬성
2103714,안민석,더불어민주당,찬성
2103714,안병길,국민의힘,찬성
2103714,안호영,더불어민주당,찬성
2103714,양기대,더불어민주당,찬성
2103714,양향자,더불어민주당,찬성
2103714,어기구,더불어민주당,찬성
2103714,엄태영,국민의힘,찬성
2103714,오영환,더불어민주당,찬성
2103714,용혜인,기본소득당,찬성
2103714,우원식,더불어민주당,찬성
2103714,위성곤,더불어민주당,찬성
2103714,유동수,더불어민주당,찬성
2103714,유상범,국민의힘,찬성
2103714,유정주,더불어민주당,찬성
2103714,윤건영,더불어민주당,찬성
2103714,윤관석,더불어민주당,찬성
2103714,윤미향,더불어민주당,찬성
2103714,윤영석,국민의힘,찬성
2103714,윤영찬,더불어민주당,찬성
2103714,윤재갑,더불어민주당,찬성
2103714,윤주경,국민의힘,찬성
2103714,윤창현,국민의힘,찬성
2103714,윤호중,더불어민주당,찬성
2103714,윤희숙,국민의힘,찬성
2103714,이개호,더불어민주당,찬성
2103714,이규민,더불어민주당,찬성
2103714,이달곤,국민의힘,찬성
2103714,이동주,더불어민주당,찬성
2103714,이만희,국민의힘,찬성
2103714,이상헌,더불어민주당,찬성
2103714,이성만,더불어민주당,찬성
2103714,이수진,더불어민주당,찬성
2103714,이용,국민의힘,찬성
2103714,이용우,더불어민주당,찬성
2103714,이원욱,더불어민주당,찬성
2103714,이원택,더불어민주당,찬성
2103714,이은주,정의당,찬성
2103714,이장섭,더불어민주당,찬성
2103714,이재정,더불어민주당,찬성
2103714,이정문,더불어민주당,찬성
2103714,이종배,국민의힘,찬성
2103714,이주환,국민의힘,찬성
2103714,이탄희,더불어민주당,찬성
2103714,이학영,더불어민주당,찬성
2103714,이해식,더불어민주당,찬성
2103714,이헌승,국민의힘,찬성
2103714,이형석,더불어민주당,찬성
2103714,임오경,더불어민주당,찬성
2103714,임이자,국민의힘,찬성
2103714,임종성,더불어민주당,찬성
2103714,장경태,더불어민주당,찬성
2103714,장혜영,정의당,찬성
2103714,전용기,더불어민주당,찬성
2103714,전재수,더불어민주당,찬성
2103714,전혜숙,더불어민주당,찬성
2103714,정경희,국민의힘,찬성
2103714,정동만,국민의힘,찬성
2103714,정일영,더불어민주당,찬성
2103714,정춘숙,더불어민주당,찬성
2103714,정태호,더불어민주당,찬성
2103714,정필모,더불어민주당,찬성
2103714,정희용,국민의힘,찬성
2103714,조수진,국민의힘,찬성
2103714,조승래,더불어민주당,찬성
2103714,조오섭,더불어민주당,기권
2103714,조응천,더불어민주당,찬성
2103714,조정식,더불어민주당,찬성
2103714,지성호,국민의힘,찬성
2103714,최강욱,열린민주당,찬성
2103714,최기상,더불어민주당,찬성
2103714,최승재,국민의힘,찬성
2103714,최인호,더불어민주당,찬성
